province_code,district_code,commune_code,commune_kh,commune_en
01,0102,010201,បន្ទាយនាង,Banteay Neang
01,0102,010202,បត់ត្រង់,Bat Trang
01,0102,010203,ចំណោម,Chamnaom
01,0102,010204,គោកបល្ល័ង្គ,Kouk Ballang
01,0102,010205,គយម៉ែង,Koy Maeng
01,0102,010206,អូរប្រាសាទ,Ou Prasat
01,0102,010207,ភ្នំតូច,Phnum Touch
01,0102,010208,រហាត់ទឹក,Rohat Tuek
01,0102,010209,ឫស្សីក្រោក,Ruessei Kraok
01,0102,010210,សំបួរ,Sambuor
01,0102,010211,សឿ,Soea
01,0102,010212,ស្រះរាំង,Srah Reang
01,0102,010213,តាឡំ,Ta Lam
01,0103,010301,ណាំតៅ,Nam Tau
01,0103,010302,ប៉ោយចារ,Paoy Char
01,0103,010303,ពន្លៃ,Punley
01,0103,010304,ស្ពានស្រែង,Spean Sraeng
01,0103,010305,ស្រះជីក,Srah Chik
01,0103,010306,ភ្នំដី,Phnum Dei
01,0104,010401,ឈ្នួរមានជ័យ,Chhnuo Mean Chey
01,0104,010402,ជប់វារី,Chub Vari
01,0104,010403,ភ្នំលៀប,Phnum Lieb
01,0104,010404,ប្រាសាទ,Prasat
01,0104,010405,ព្រះនេត្រព្រះ,Preah Net Preah
01,0104,010406,រហាល,Rohal
01,0104,010407,ទានកាំ,Tean Kam
01,0104,010408,ទឹកជោរ,Tuek Chour
01,0104,010409,បុស្បូវ,Bos Sbouv
01,0105,010501,ចង្ហា,Changha
01,0105,010502,កូប,Koub
01,0105,010503,គុត្ដសត,Kuttasat
01,0105,010505,សំរោង,Samraong
01,0105,010506,សូភី,Souphi
01,0105,010507,សឹង្ហ,Soeng
01,0105,010509,អូរបីជាន់,Ou Beichoan
01,0106,010602,កំពង់ស្វាយ,Kampong Svay
01,0106,010603,កោះពងសត្វ,Kaoh Pong Sat
01,0106,010604,ម្កាក់,Mkak
01,0106,010605,អូរអំបិល,Ou Ambel
01,0106,010606,ភ្នៀត,Phniet
01,0106,010607,ព្រះពន្លា,Preah Punlea
01,0106,010608,ទឹកថ្លា,Tuek Thla
01,0107,010701,បន្ទាយឆ្មារ,Banteay Chhmar
01,0107,010702,គោករមៀត,Kouk Romiet
01,0107,010703,ភូមិថ្មី,Phum Thmei
01,0107,010704,ថ្មពួក,Thma Puok
01,0107,010705,គោកកឋិន,Kouk Kakthen
01,0107,010706,គំរូ,Kumru
01,0108,010801,ផ្គាំ,Phkoam
01,0108,010802,សារង្គ,Sarongk
01,0108,010803,ស្លក្រាម,Sla Kram
